string	occurrences	volumes	authors	ignore	alias	comment
Edwin	16	10	9	1		
Effie	10	8	7	1		
Egeria	14	9	8	1		
EGLANTINE	12	5	5	1		
Egremond	18	2	2	1		
Egypt	503	250	182	0		
Ehrenstein	5	2	2	1		
El Dorado	22	21	20	1		Almost always mythical
Elba	6	6	6	0		
Elbe	10	7	7	0		
Eldorado	25	15	12	1		Mythical
Eleanor	7	4	4	1		
Eleanore	5	2	2	1		
Electra	5	4	4	1		
ELEPHANTA	5	2	2	1		
Elfrida	10	6	5	1		
Elgin	17	5	5	0		
Eliza	26	14	13	1		
Elizabeth	111	36	29	1		
Ella	110	23	19	1		
Ellen	13	9	9	1		
Ellicott	10	2	2	0		
Elliston	5	3	3	1		
Elm Grove	14	3	2	0		
Elmira	95	7	6	0		Generally NY
Elmwood	10	5	4	0		
Elsie	31	12	10	1		
Elvira	9	6	6	1		
Elwood	8	3	3	1		
Ely	5	2	2	1		
Elysian	6	6	6	1		
Elysium	16	16	15	1		
Em	15	3	2	1		
Emerald	9	2	2	1		
Emerald Isle	31	25	20	0	Ireland	Ireland
Emerson	57	20	17	1		
Emilia	5	3	3	1		
Emily	156	37	29	1		
Emma	38	16	16	1		
Emmaus	5	4	4	0	Jerusalem, Israel	Jerusalem
Emmettsburg	21	2	2	0		
Empire	10	10	9	1		
Empire City	39	29	25	0	New York City, NY	NYC
Endicott	11	4	3	0		
Enfield	9	5	3	0		
England	5526	682	325	0		
England England	5	4	4	1		
England Esq.	6	6	5	1		
England France	13	10	10	1		
Englander	5	5	5	1		
Englewood	23	2	2	0		
Enon	5	3	3	1		Ambiguous biblical
Eph	25	3	3	1		
Ephesians	12	9	9	1		
Ephesus	110	20	20	0	Selçuk, Turkey	Selcuk, Turkey
Ephraim	7	2	2	1		
Episcopal Church	5	4	4	1		
Epsom	11	9	8	0		
equator	8	7	6	1		
Erie	9	9	8	0		
Erin	7	3	3	1		
Ernest	72	18	14	1		
Ernestine	7	2	2	1		
Erskine	7	2	2	1		
Esdraelon	13	2	2	0	Jezreel, Israel	Jezreel, Israel
Esq.	28	16	15	1		
Esquimaux	6	6	6	1		
Essex	14	9	8	0		
Este	6	4	4	0		
Estella	26	3	3	1		
Estelle	17	5	5	1		
Etc.	8	8	8	1		
Eternal City	41	28	26	0	Rome, Italy	Rome, Italy
Eternity	13	12	11	1		
Ethel	37	6	6	1		
Ethiopia	22	17	14	0		
Etna	12	11	11	0	Mount Etna, Italy	Mt Etna, Italy
Eton	34	15	15	0	Eton, England	
Etta	28	5	5	1		
Euclid	44	34	27	1		
Eudocia	20	2	2	1		Name
Eudora	20	4	3	1		
Eugene	20	9	9	1		
Eugenia	104	11	11	1		
Eulalia	28	2	2	1		
Eunice	10	4	3	1		
Euphrates	31	17	16	0		
Eureka	39	7	7	1		
Europa	12	9	8	0	Europe	
Europe	3224	635	310	0		
Europe Asia	13	11	9	1		
Europe Asia Africa	6	5	5	1		
Europe Esq.	5	5	5	1		
Eusebius	14	9	8	1		
Eva	164	19	16	1		
Evans	6	2	2	1		
Evelina	33	4	4	1		
Eveline	17	4	4	1		
Evelyn	21	7	5	1		
Everett	9	5	5	1		
Everglades	13	2	2	0		
Eves	7	6	6	1		
Evesham	34	2	2	0		
Evry	12	4	4	1		Dialect every
Excelsior	15	11	11	1		
Excelsis	10	8	8	1		
Exeter	87	16	14	0		
Eyrie	39	3	3	1		
Ezra	56	5	5	1		
Fair Oaks	9	5	5	0		
FAIRFAX	616	30	23	0		
Fairfax Court-House	14	6	4	0	FAIRFAX	Fairfax, VA
Fairfax Fairfax	28	5	5	1		
Fairfield	34	10	8	0		
Fairmount	5	4	4	0		
Fairview	35	5	4	0		
Falernian	5	2	2	1		
Fall River	28	8	8	0		
Falls Niagara	9	9	9	0	Niagara Falls, NY	Niagara Falls, NY
Falmouth	45	15	14	0		
Faneuil Hall	5	2	2	0		
Fannin	5	3	2	1		
Fanny	131	45	32	1		
Far West	22	20	17	0	#West, USA	#West
Farmer Gray	12	3	3	1		
Farnham	7	2	2	0		
Farragut	12	3	3	1		Admiral Farragut
Father Antonio	5	4	4	1		
Faubourg St. Antoine	5	4	4	0		
Faubourg St. Germain	8	7	6	0		
Faubourg St. Honore	5	3	3	0		
Faust	11	10	9	1		
Fayal	8	5	5	0	Faial, Portugal	Faial, Portugal
Fayette	15	6	4	1		Ambig and name
Fayette County	5	3	3	0		
Fayetteville	6	3	3	0		
Fenelon	9	6	6	0		
Ferris	11	2	2	1		
FESTUS	8	5	4	1		
Fez	9	4	4	0		
Field	50	29	23	1		
Fire Island	9	4	4	0		
Fitchburg	8	5	4	0		
Fitzroy	5	3	3	0		
Flanders	14	12	10	0		
Flatbush	7	3	3	0		
Fletcher	9	4	4	0		
Flint	149	26	24	1		Always name
Flint Flint	14	3	3	1		
Flint Hill	8	2	2	0		
Flora	1387	103	66	1		
Flora Flora	98	13	12	1		
Flora Flora Flora	7	4	4	1		
Florence	3240	180	111	1		
Florence Florence	225	32	25	1		
Florence Florence Florence	33	15	12	1		
Florence Florence Florence Florence	6	5	5	1		
Florence Hamilton	10	2	2	1		
Florence Nightingale	12	12	12	1		
Florida	527	96	72	0		
Florida Florida	16	3	3	1		
Floridy	5	4	4	0	Florida	
Floyd	8	4	3	1		
Folkestone	36	4	4	0		
Folsom	5	3	2	0		
Fontainebleau	21	3	3	0		
Forbes	8	3	3	1		
Fort	170	38	31	1		
Fort Adams	7	5	3	0		
Fort Cumberland	9	2	2	0	Cumberland, MD	Cumberland, MD
Fort Duquesne	34	2	2	0		
Fort George	6	4	4	0		
Fort Hamilton	13	6	6	0		
Fort Hill	5	2	2	0		
Fort Kearney	5	4	4	0		
Fort Lafayette	11	6	5	0	Brooklyn, NY	Brooklyn, NY
Fort Laramie	5	4	4	0		
Fort Leavenworth	11	5	5	0		
Fort Lee	11	6	6	0		
Fort Macon	5	2	2	0		
Fort Mifflin	7	3	3	0		
Fort Moultrie	20	12	10	0		
Fort Sumter	73	37	32	0		
Fort Vancouver	5	3	3	0		
Fort Washington	30	9	9	0		
Fort Yuma	16	3	3	0		
Fortescue	7	3	3	0		
Foundling Hospital	6	4	4	1		
Fra Angelico	8	6	4	1		
France	2776	492	254	0		
France England	9	9	9	1		
France France	37	4	4	1		
France Italy	5	5	4	1		
Francisco	13	5	4	1		
Franconia	246	8	7	1		Usually name
Frank	25	18	18	1		
Frankfort	144	24	24	0	Frankfurt, Germany	Frankfurt, Germany (tiny bit of KY)
Franklin	39	36	27	1		
Franklin Square	5	3	3	0		
Franklin Street	6	5	5	0		
Frederick	5	4	4	1		
Frederick City	22	5	3	0		
Frederick County	8	3	3	0		
Fredericksburg	154	23	19	0		
Fredonia	14	2	2	1		Used fictitiously in corpus
Free States	22	16	12	0	#North, USA	#North
freehold	14	7	5	1		
Fremont	91	17	12	1		Used as name
French	90	71	62	1		
Fribourg	39	2	2	0		
Frisco	22	9	5	0	San Francisco, CA	Almost never TX
Fuller	11	2	2	1		
Fulton	56	33	26	1		Name
Fulton Street	9	8	8	0		
Gabrielle	9	2	2	1		
Gadsden	41	4	2	1		Name
Galatia	5	2	2	1		
Galena	11	5	5	0		
Galignani	7	5	5	1		A newspaper
Galilee	105	49	40	0	Israel	Israel
Galveston	84	20	17	0		
Galway	28	10	10	0		
Gambia	33	5	4	0		
Ganges	54	29	27	0	Kolkata, India	Kolkata, India; should be river, but always used in Calcutta
Ganymede	15	12	12	1		Mythical figure
Garden Eden	5	4	4	1		
Garland	25	6	6	1		Name
Garonne	11	5	5	0		
Garron	42	2	2	1		
Gate	7	6	5	1		
Gate House	5	2	2	1		
Gath	14	13	13	1		Mythic
Gaul	21	9	9	0	France	France
Gaza	8	8	8	0		
Genesee	18	11	11	0		
Geneva	164	64	51	0		
Genoa	79	30	27	0		
Gentile	13	9	9	1		
Geo	13	12	10	1		
Geoffrey	7	2	2	1		
George	34	22	20	1		
George Washington	14	12	9	1		
Georgetown	51	20	19	0	Georgetown, DC, US	DC
Georgia	337	125	95	0		
Georgiana	5	5	4	1		
German	7	6	6	1		
Germantown	35	14	12	0		
Germany	613	217	146	0		
Gethsemane	56	44	35	0	Jerusalem, Israel	Jerusalem
Gettysburg	130	27	20	0		
Gibraltar	120	54	42	0		
Gibralter	8	7	5	0	Gibraltar	
Gifford	5	3	2	1		
Gila	13	6	6	0		
Gilgal	7	5	4	1		
Ginevra	6	3	3	1		Name
Gipsy	141	19	16	1		
Glades	9	2	2	1		
Glasgow	85	28	24	0	Glasgow Scotland	
Glasgow Scotland	5	4	4	0		
Glastonbury	37	3	3	1	Glastonbury, Somerset, UK	Ignored b/c used mostly as name; else UK not US
GLENCOE	26	6	6	0		
Glendale	71	5	4	1		Ambig and often fictional
GLENVILLE	102	4	4	0		
Glenwood	100	5	5	0		
Gloria	28	15	12	1		
Gloucester	172	21	14	0		
Goat Island	22	8	8	0		
Goblin	8	3	2	1		
Golconda	34	29	28	0	Hyderabad, India	Modern Hyderabad, India
Gold Hill	6	4	3	0		
Goldsboro	26	4	4	0		
Goliad	41	4	3	0		
Goneril	22	5	5	1		
Gonzalvo	12	2	2	1		Name
Gordon	11	6	4	1		
Gordonsville	12	4	2	0		
Goree	5	2	2	1		
Gorgona	5	4	4	0		
Gorham	7	5	5	1		
GOSHEN	17	13	12	0		
Gosport	8	2	2	0		
Gotham	109	59	45	0	New York City, NY	NYC
Göttingen	18	8	7	0		
Governor Island	6	6	6	0		
Gracie	554	13	12	1		
GRACIE Gracie	58	7	6	1		
Gracie Gracie Gracie	16	5	4	1		
Grafton	37	7	5	1		
Granada	14	9	9	0		
GRANBY	32	4	3	1		Ambig and name
Grand Gulf	9	4	3	0		
Grand Lodge	29	4	3	1		Social body
Grange	6	3	2	1		
Grattan	22	2	2	0		
Gravesend	62	12	11	0		
Great	5	5	5	1		
Great Basin	5	3	3	0		
Great Britain	203	102	74	0		
Great Britian	5	4	4	0	Great Britain	Spelling
Great Manitou	9	4	4	1		A god
Great Physician	9	9	8	1		
Great Republic	11	7	6	1		
Great River	6	5	5	1		
Great Rock	8	3	3	0		
Great Salt Lake	8	7	7	0		
Great Salt Lake City	14	6	4	0	Salt Lake City	Salt Lake City
Great Spirit	167	54	43	1		
Great West	5	4	4	0	#West, USA	#West
Greatheart	5	3	3	1		
Grecian	27	25	24	1		
Grecian Archipelago	10	7	7	0	Greece	Greece
Greece	332	138	99	0		
Greeks	35	23	22	1		
Greeley	8	7	7	1		
Green	11	5	4	1		
Green Bay	10	4	4	0		
Green Mountain	12	11	9	0	Green Mountains	
Green Mountains	42	27	21	0		
Green Mountains Vermont	7	7	6	0	Green Mountains	
Green River	15	10	10	0		
Greenbush	5	2	2	0		
Greenfield	7	4	4	0		
Greenland	85	44	37	0		
Greenpoint	9	2	2	0		
Greenville	40	11	11	0		
Greenwich	65	29	24	0		
Greenwich Street	7	5	5	0		
Greenwood	34	24	20	0	Green-Wood Cemetery, Brooklyn, NY	Green-Wood Cemetery, Brooklyn, NY
Greenwood Cemetery	13	11	10	0	Green-Wood Cemetery, Brooklyn, NY	Green-Wood Cemetery, Brooklyn, NY
Grenada	48	12	12	0		
Grenoble	6	2	2	0		
Grenville	16	4	3	0		
Gretna Green	11	11	10	0		
Grey	99	17	16	1		
Grindelwald	10	3	3	0		
Groton	31	6	5	0		
Grove	8	5	5	1		
Guadalaxara	5	4	3	0	Guadalajara Mexico	Spelling
Guanaxuato	10	3	3	0		
Guatemala	6	4	4	0		
Guayaquil	5	3	3	0		
Guernsey	8	5	4	0		
Guiana	5	3	2	0		
Guido	8	6	5	1		
Guilford	19	7	7	0		
Guinea	89	58	46	0		
Gulch	10	5	4	1		
Gulf	44	36	31	1		
Gulf Mexico	42	33	26	0		
Gulf States	13	8	6	0	#South, USA	#South
Gulietta	22	2	2	1		
Ha	283	155	86	1		
Habakkuk	5	5	5	1		Name
HACIENDA	37	4	3	1		
Hackensack	13	5	5	0		
Hades	11	10	9	1		
Hagerstown	14	4	2	0		
Hague	10	4	4	0		
Haidee	17	3	3	1		
Halifax	158	40	33	0		
Halle	10	6	5	0		
Hamburg	63	25	22	0		
Hamilton	74	26	23	1		
Hamlet	5	5	5	1		
Hampden	15	8	7	0		
Hampshire	11	7	6	0		
Hampton	99	17	14	1		Ambigous and name
Hampton Court	7	4	4	0	Hampton Court Palace, East Molesey, Surrey, UK	Outside London
Hampton Roads	6	4	4	0		
Handcuffs	6	6	5	1		
HANNAH	19	8	8	1		
Hanover	48	29	24	1		Ambig
Hanover Square	10	5	5	0	Hanover Square London	Hanover Square, London
Hanover Street	13	6	4	0		
Hapsburg	5	2	2	1		
Haralson	5	2	2	1		
Harbor	17	7	7	1		
Harcourt	28	4	4	1		
Hardscrabble	6	3	3	1		
Hardy	8	4	4	1		
Harlaem	8	4	4	0	Harlem	
Harland	6	3	3	1		
Harlem	102	36	31	0		
Harlem Heights	15	2	2	0	Harlem	
Harlem River	26	9	8	0		
Harley	45	7	5	1		
Harlington	18	2	2	1		
Harpswell	14	3	2	0		
Harrisburg	63	24	21	0		
Harrisburgh	22	5	4	0	Harrisburg	
Harrisonburg	20	4	3	0		
Harrodsburg	11	3	3	0		
Harrodsburgh	7	2	2	0	Harrodsburg	
Harrow	13	4	4	1		
Harry	111	51	41	1		
Harry Gray	5	3	3	1		
Hartford	96	39	33	0		
Hartland	59	3	3	0		
Hartz	5	4	4	0	Hartz Mountains	Hartz Mountains
Hartz Mountains	6	5	5	0		
Harvey	11	4	4	1		
Hast	32	23	20	1		
Hastings	7	5	4	1		
Hatteras	13	6	6	0		
Havana	472	142	97	0		
Havanna	7	5	5	0	Havana	
Haverhill	30	2	2	1		Usually name
Haverstraw	23	4	4	0		
Haverstraw Bay	6	2	2	0		
Havre	16	13	11	0		
Havre Grace	7	3	3	0		
Hawaii	14	5	4	0		
Hawkeye	83	2	2	0	Iowa	Iowa
Haymarket	13	11	9	0		
Hayti	15	8	8	0	Haiti	Haiti
Hazelwood	5	2	2	0		
Head Haven	10	2	2	1		
Heart	5	3	3	1		
Heath	9	6	6	1		
Heaven	96	84	49	1		
Heavens	12	11	11	1		
Hebe	26	26	25	1		
Hebrew	164	84	69	1		
Hecate	10	9	9	1		
Hecuba	10	5	4	1		
Heidelberg	152	28	28	0		
Heidelburg	6	4	4	0	Heidelberg	
Heidsick	5	4	4	1		Type of wine
Heights	17	5	5	1		
HELEN	7	6	6	1		
Helena	19	9	9	1		
Hellas	9	3	3	0	Greece	Greece
Hells	6	6	5	1		
Hempstead	5	4	4	0		
Henderson	5	2	2	1		
Hendrick Hudson	5	3	3	1		
Henrico	12	4	4	0		
Henrico county	5	4	4	0		
Henrietta	8	6	6	1		
Henry	21	20	19	1		
HEPSEY	6	3	3	1		
Herbert	6	6	6	1		
Herculaneum	31	22	15	0	Ecolano, Italy	Ecolano, Italy
Hercules	29	25	24	1		
Herkimer	5	2	2	0		
Herman	7	3	2	1		
Hermione	5	2	2	1		
HERMITAGE	6	5	5	1		Used generically
Hermon	8	5	5	0	Mount Hermon, Syria	Mount Hermon, Syria
Hertfordshire	6	5	5	0		
Hessian	8	7	7	1		
Hetty	8	4	4	1		
Heywood	9	3	3	1		
Hiawatha	11	6	6	1		Usually the Longfellow poem
Hibernian	23	20	18	1		Ireland, but adj.
Hibernians	5	3	3	1		
Highland	73	42	37	1		
Highlands	54	38	31	1		Too ambig
Hill	8	6	6	1		
Hills	6	4	4	1		
Hillsboro	95	3	3	0	Hillsboro Ohio	Hillsboro, OH
Hillsdale	35	3	3	0		
Hindoo	7	5	5	1		
Hindoostan	5	4	4	0	India	India
Hindostan	18	14	13	0	India	India
Hingham	15	8	6	0		
Hingland	5	5	5	0	England, GB	Dialect England
Hobart	8	4	4	1		
Hoboken	78	45	35	0		
Holborn	10	5	5	0		
Holden	10	2	2	1		
Holies	5	5	5	1		
Holland	198	79	57	0		
Hollister	30	3	3	1		
Holliston	5	2	2	0		
Holloa	7	7	7	1		
Hollywood	7	4	3	1		Not the one in CA
Holmes	6	4	4	1		
Holy City	50	26	25	1		Ambig Rome Jerusalem Heaven etc.
Holyoke	17	5	5	0		
Holyrood	7	3	3	0		
Honduras	11	11	8	0		
Hong Kong	23	12	12	0		
Honiton	10	10	9	1		Metonymy for lace
Honolulu	44	12	10	0		
Honora	23	2	2	1		
Honoria	89	2	2	1		
Hooghly	6	3	3	0		
Hooker	15	7	6	1		
Hopedale	64	2	2	0		
Hopkinton	9	3	2	0		
Horace	5	5	5	1		
Horseneck	8	2	2	0		
Hospital	37	24	21	1		
Houghton	74	5	5	1		
Hounslow heath	5	3	3	0		
Housatonic	25	9	7	0		
Houston	70	21	15	0		
Houston Street	13	6	5	0		
Howadji	10	3	3	1		Means traveller
Howard	5	5	3	1		
Howdy	6	4	3	1		
Howth	11	7	4	0		In Ireland
Hudson	718	219	141	0	Hudson River, NY	
Hudson Bay Company	7	3	3	1		
Hudson river	75	54	42	0	Hudson River, NY	
Hudson River Railroad	16	9	7	1		
Huldah	12	4	3	1		
humankind	12	8	8	1		
Humboldt	32	15	11	0		Surprisingly often in CA
Humboldt county	6	3	2	0		
Hungary	50	32	28	0		
Hungerford	12	3	3	1		
Huntingdon	27	4	4	0		
Huntington	20	9	8	0		
Huntsville	23	4	4	0		
Huron	18	5	5	0		
Hybla	8	8	8	0	Ragusa, Italy	Ragusa, Italy
Hyde Park	24	19	16	0		
Iceland	25	19	18	0		
Ida	87	25	22	1		
Idaho	14	5	4	0		
Idumea	9	5	5	0		
Ilia	5	2	2	1		
Illinois	176	83	65	0		
India	1015	298	181	0		
Indian	91	57	47	1		
Indiana	143	81	60	0		
Indianapolis	40	10	9	0		
Indies	5	5	5	0	West Indies	West Indies
Inez	9	6	6	1		
Ingin	5	4	4	1		
Inquisition	8	8	8	1		
Inverness	11	3	3	0		
Ion	5	3	3	1		
Ionia	47	6	6	0	Izmir Province, Turkey	Izmir, Turkey
Iowa	67	34	29	0		
Iphigenia	6	4	4	1		
Ireland	887	203	130	0		
Irene	11	5	5	1		
Irish	15	15	15	1		
Irish Sea	7	4	4	0		
Irishmen	5	5	4	1		
Irkutsk	9	3	2	0		
Irvine	16	2	2	1		
Isa	46	6	6	1		
Isaac	5	2	2	1		
ISABELLA	54	9	8	1		
Isabelle	24	4	3	1		
Isadora	25	3	3	1		
Isaiah	19	16	16	1		
Island	325	129	90	1		
Island Cuba	13	9	7	0	Cuba	Cuba
Islands	86	20	18	1		
Isle	11	6	5	1		
Isle Pines	6	4	4	1		
Isles	17	14	14	1		
Islington	44	3	3	1		Place but usually used as name
Isola	106	2	2	1		
Ispahan	9	3	3	0		
Israel	939	194	129	0		
Israel Israel	55	4	4	0	Israel	
Israel Israel Israel	17	2	2	0	Israel	
Israel Putnam	15	4	4	1		
Italia	6	6	6	0	Italy	Italy
Italian	5	5	5	1		
Italy	1487	370	215	0		
Italy Florence	6	2	2	0		
Ithaca	16	8	7	0		Tricky equal measures NY and Greece
Ithuriel	18	16	16	1		
Ivy Cottage	5	3	2	1		
Jackson	21	9	7	1		
Jacksonville	9	5	5	0		
Jaffa	38	6	5	0	Tel Aviv, Israel	Tel Aviv
Jalapa	19	4	4	0	Xalapa, Mexico	Xalapa, Mexico
Jamaica	245	72	51	0		
James City	6	3	2	0		
James River	66	29	22	0		
Jamestown	115	15	13	0	Jamestown, VA	Jamestown, VA
Jane	8	8	7	1		
Janiculum	5	3	3	0		
Japan	129	56	41	0		
Java	10	6	6	0	Java, Indonesia	Java, Indonesia
Jefferson	23	19	17	1		
Jeffersonville	7	4	3	0		
Jem	7	5	4	1		
Jephthah	6	5	5	1		
Jer	7	2	2	1		
Jericho	111	64	50	0	Israel	Israel. Stupid Google
Jersey	180	84	64	0	New Jersey, USA	New Jersey
Jersey City	65	38	32	0		
Jerusalem	779	192	133	0	Jerusalem, Israel	Jerusalem, Israel
Jerusalem Jerusalem	6	6	6	0	Jerusalem, Israel	
Joe	10	9	8	1		
Johnsonville	7	2	2	0		
Jones	7	5	5	1		
Jonesville	13	2	2	0		
Joppa	31	11	10	0	Tel Aviv, Israel	Tel Aviv
Jordan	316	104	78	0		
Jordan Jordan	5	4	4	1		
Joseph	7	7	6	1		Name
Jotham	8	5	5	1		
Juba	102	18	17	1		Name
Juba Juba	9	4	4	1		
Judas Iscariot	12	10	9	1		
Judea	119	60	49	0	Israel	Israel
Julesburg	7	2	2	0		
Julia	38	18	14	1		
Jungfrau	20	8	7	0	Jungfrau, Switzerland	
Juniata	21	6	6	0	Juniata Pa	Juniata, PA
Jupe	8	3	3	1		
Jupiter	10	9	8	1		
Jura	34	10	10	0		
Kaaba	6	5	5	0	Mecca	Mecca
Kaintuck	11	9	8	0	Kentucky	Kentucky
Kaintucky	6	3	3	0	Kentucky	Kentucky
Kamschatka	5	5	5	0		
Kamtschatka	16	8	7	0		
Kanaka	5	3	3	1		
Kanawha	10	6	6	0	Kanawha River	Kanawha River
Kansas	201	48	37	0		
Kansas City	5	3	3	0		
Kaskaskia	23	2	2	0		
Katy	13	8	8	1		
Kedron	5	5	5	0	Kidron, Israel	Kidron, Israel
Keene	7	2	2	1		
Kenilworth	12	4	4	1		
Kennebec	38	12	12	0		
Keno	7	3	2	1		
Kensington	12	6	5	0		
Kentucky	818	144	99	0		
Kentucky Kentucky	6	4	3	1		
Kentucky River	11	4	4	0		
Keokuk	7	3	3	0		
Kernstown	15	4	2	0		
Kew	13	3	3	0		
Key West	10	7	6	0		
Khorassan	5	2	2	0	Iran	Iran
Kilkenny	6	5	5	0		
Killarney	33	12	11	0		
Kinderhook	10	2	2	0		
KING	7	2	2	1		
King Louis	14	5	5	1		
Kingsbridge	14	4	3	0		
Kingston	56	27	24	1		Hopelessly ambiguous
Kittery	16	3	3	1		
Knightsbridge	6	3	3	0		
Knoxville	32	10	9	0	Knoxville Tennessee	
Knoxville Tennessee	6	4	4	0		
Koran	5	4	4	1		
Labrador	8	7	7	0		
Lachine	11	3	3	0		
Lackland	19	2	2	0		
Laconia	54	4	4	0		
Lacy	14	4	4	1		
Lady Augusta	7	3	3	1		
Lady Clara	8	2	2	1		
Lady Grace	11	4	4	1		
Lady Suffolk	6	3	3	1		
Lafayette	88	47	43	1		Usually name
Lafayette Square	5	3	2	0		
Lafourche	25	3	3	1		Mostly name
Lagrange	17	4	4	0		
Lahaina	10	2	2	0		
Lake	142	65	57	1		
Lake Champlain	32	16	16	0		
Lake Como	9	3	3	0		
Lake Erie	50	35	31	0		
Lake Geneva	7	7	6	0		
Lake George	45	23	21	0		
Lake Michigan	13	8	7	0		
Lake Ontario	17	12	12	0		
Lake Ponchartrain	7	7	5	0		
Lake Superior	9	8	8	0		
Lake Tahoe	10	4	3	0		
LAKE WINNIPISEOGEE	5	4	4	0		
Lancaster	31	18	17	0		
Lane	15	10	9	1		
Languedoc	25	4	4	0	France	France
Laocoon	10	7	7	1		
Lapland	27	22	21	0	Finland	Finland
Laredo	9	2	2	0		
Larne	19	3	2	1		
Latakia	7	4	4	0		
LATIN	43	34	28	1		
Laura	58	15	14	1		
Laurel Hill	6	5	5	0		
Laurens	5	2	2	1		
Lausanne	18	7	7	0		
Lavington	23	3	2	0	Lavington, England	Lavington, England
Lavinia	5	3	3	1		
Lawrence	7	4	4	1		
Lealands	9	2	2	0		
Lear	10	7	6	1		
Leavenworth	6	5	4	0		
Lebanon	163	49	42	0		
Ledge	12	7	7	1		
Lee	22	9	6	1		
Leelinau	20	2	2	1		
Lees	15	12	11	1		
Leesburg	46	6	4	0	Leesburg, VA	Leesburg, VA
Leicester	298	9	9	0		
Leicester Leicester	9	2	2	1		
Leicester Square	5	3	3	0		
Leila	20	4	3	1		
Leipsic	27	12	11	0	Leipzig	Spelling
Leipzig	21	3	3	0		
Lelia	11	5	4	1		
Lenox	104	9	9	1		Mostly name
Leoline	7	2	2	1		
Leon	7	3	3	1		
Leonard	8	4	3	1		
Leonora	7	6	6	1		
Lethe	48	46	39	1		
Leviathan	7	3	3	1		
Leviticus	10	8	8	1		
Lewisburg	29	5	5	0		
Lewiston	43	10	10	0		
Lexington	153	70	51	0	Lexington, MA	Lexington, MA (some KY, but usually specified)
Lexington Avenue	11	2	2	0	Lexington Ave, New York, NY	Lexington Ave, NY, NY
Lí	6	2	2	1		
LIBBY	6	6	6	1		
Liberia	158	27	25	0		
Libery	9	5	4	1		
Lida	16	2	2	1		
Liege	43	6	6	0		
Lillian	13	3	3	1		
LILLIE	6	5	5	1		
Lilliput	6	5	5	1		
Lily	43	8	8	1		
Lima	58	20	17	0		
limekiln	9	5	5	1		
Limerick	52	19	14	0		
Lincoln	64	29	26	1		
Lincolnshire	39	9	8	0		
Linda	11	3	3	1		
Lionel	8	3	3	1		
Lisbon	79	24	21	0		
Lisle	62	10	9	1		
Lisle De Lisle	5	3	2	1		
Litchfield	26	4	4	0		
Lithuania	15	2	2	0		
Little Britain	5	2	2	1		
Little River	29	5	3	0		
Little Rock	14	7	6	0		
Littleton	15	7	7	1		Ambig and sometimes name
Liverpool	8	7	7	0		
LIZZIE	9	6	6	1		
Llangollen	7	2	2	0		
Lloyd	5	2	2	1		
Lo	23	19	16	1		
Lochiel	8	6	6	1		
Lockport	7	5	5	0		
Lodge	22	8	7	1		
Lodi	12	9	8	0		
Logan	344	20	16	1		
Logan Logan	27	7	5	1		
Loire	23	12	9	0		
Lola	98	6	6	1		
Lollards	8	2	2	1		
Lombardy	51	44	38	0		
London	3389	460	239	0		
LONDON Bart.	7	2	2	1		
London Bridge	19	16	12	0		
London England	6	6	6	0		
London Esq.	12	10	9	1		
London London	5	5	5	0	London	
London Paris	6	6	6	1		
LONG	18	6	6	1		
Long Branch	63	19	18	0		
Long Bridge	13	9	8	0		
Long Island	223	90	63	0		
Long Island Sound	14	12	12	0		
Long Wharf	13	12	11	0	Long Wharf, Boston, MA	Long Wharf, Boston, MA
Longfellow	82	58	47	1		
Longinus	6	4	4	1		
longitude	9	8	8	1		
Longstreet	19	4	3	1		
Lord	231	155	108	1		
Lord Baltimore	13	6	6	1		
Lord Chesterfield	11	10	9	1		
Lord Fairfax	81	3	2	1		
Lord Grey	8	4	3	1		
Lord Harcourt	5	2	2	1		
Lord Huntington	18	2	2	1		
Lord loveth	5	5	5	1		
Lord North	5	3	3	1		
Lord Palmerston	15	4	4	1		
Lord Percy	6	2	2	1		
Lord Strafford	8	2	2	1		
Loretto	15	10	9	1		
Lorraine	5	3	3	0		
Los Angelos	7	2	2	1		
Lou	5	4	4	1		
Loudon	9	5	5	0		
Loudon Heights	25	3	3	0		
Louis	282	61	47	1		
Louis XIV.	9	7	7	1		
Louis XV	5	5	5	1		
Louisa	33	14	14	1		
Louisburg	6	4	3	0		
Louise	12	7	7	1		
Louisiana	528	129	91	0		
Louisville	111	40	29	0	Louisville Kentucky	Louisville, KY
Louisville Kentucky	9	9	8	0		
Louisville Ky.	5	5	4	0	Louisville Kentucky	Lousiville, KY
Louvre	73	38	36	0	Musée du Louvre, Paris, France	Musee du Louvre etc.
Lowell	17	13	11	0		
Lower California	6	3	3	0	California, USA	California, USA
Lower Town	15	3	2	1		
Lowland	7	4	3	1		
Lowlands	5	4	2	1		
Lowndes	9	3	3	1		
Loyola	29	12	12	1		
Lucca	9	6	6	0		
Lucerne	32	7	7	0		
Lucia	135	12	10	1		
Lucina	5	2	2	1		
Lucknow	11	4	4	0		
Lucullus	7	3	3	1		
Lucy	57	26	22	1		
Luigi	5	2	2	1		
Luke	6	6	6	1		
Lunnon	11	5	5	0	London	Dialect London
Lunnun	14	7	7	0	London	Dialect London
Luxembourg	20	10	9	0		
Luzerne	11	3	3	0	Lucerne	Lucerne
Lycidas	6	4	3	1		
Lydia	17	12	11	1		
Lynch	9	4	4	1		
Lynchburg	53	14	8	0		
