string	occurrences	volumes	authors	ignore	alias	comment
Ayrshire	9	8	8	0	South Ayrshire, Scotland, UK	South Ayrshire, Scotland
Azores	21	8	7	0		
Aztecs	5	4	4	1		
Baalbec	15	4	4	0		
Baalbek	59	2	2	0		
Babylon	43	24	22	0	Iraq	Iraq
Baca	6	2	2	0		
Bacchus	23	19	16	1		
Back Bay	6	6	5	0	Boston, MA	
Bacon	39	12	11	1		
Badajoz	16	2	2	0		
Baden	80	21	17	0	Baden-Baden	Baden-Baden
Baden-Baden	36	18	17	0		
Baffin	7	4	4	0		
Bagdad	25	13	12	0		
Bahamas	11	9	8	0		
Bahia	31	5	4	0		
Baiae	10	5	5	0		
Bainbridge	15	4	4	0		
Balaklava	6	6	5	0		
Balder	8	3	3	0		
Baldinsville	69	4	2	0		
Ball	16	14	13	1		Dancing event, not place
Balmoral	5	4	4	0		
Baltimore	711	196	123	0		
Banbury	9	3	3	0		
Bangalore	9	2	2	0		
Bangor	25	16	14	0		
Bank	18	14	10	1		
Bantry	5	3	2	0		
Barataria	22	4	3	0		
Barbadoes	17	7	6	0		
Barbara	16	5	5	1		
Barney	9	2	2	1		
Barnstable	42	5	5	0		
Barton	7	3	3	0		
Bartow	6	4	2	0		
Bashan	21	14	13	0		
Basle	11	3	3	0		
Batavia	12	9	9	0		
Bath	13	9	9	0		
Baton Rouge	38	11	9	0		
Bavaria	20	15	13	0		
Baxter	17	14	13	0		
Bay	64	40	34	1		
Bay Biscay	10	9	8	0		
Bay Fundy	6	5	5	0		
Bay State	6	5	5	0	Massachusetts, USA	
Beach	5	5	5	1		
Beacon	22	10	9	1		
Beacon Hill	7	6	6	0		
Beacon Street	21	13	11	0		
Beast	38	18	17	1		
Beatrice	5	3	3	1		
Beau	6	3	3	1		
Beaufort	58	20	15	0		
BEAUMONT	331	18	15	1		
Beauregard	17	8	6	1		
Bedford	21	14	14	0		
Bedford Springs	6	3	2	0		
Beechwood	61	2	2	0		
Beekman	7	7	7	0		
Beelzebub	5	5	5	1		
Beersheba	24	18	17	0		
beggary	21	20	18	1		
Beirut	47	4	2	0		
Belfast	21	10	10	0		
Belgium	22	19	17	0		
Belgravia	15	11	10	0		
Bella	110	14	14	1		
Bellair	13	4	4	1		Name and ambig
Belle	49	12	10	1		
Belleville	84	5	5	0		
Bellevue	161	16	13	0	Bellevue Hospital, New York, NY	Bellevue Hospital, NY, NY
Bellevue Hospital	21	6	5	1	Bellevue Hospital, New York, NY	Bellevue Hospital, NY, NY
Bellingham	16	4	4	0		
Belmont	8	5	5	0		
Belton	37	5	4	1		Personal name
Belvidere	37	14	14	0		
Ben	39	21	21	1		
Ben Nevis	5	5	5	0		
Benares	9	4	4	0		
Bench	17	16	14	1		
Benedict	5	5	5	1		
Benevento	7	2	2	0		
Bengal	93	38	33	0	West Bengal, India	West Bengal, India
Benicia	21	12	10	0		
Benin	10	4	4	0		
Benjamin	11	6	6	1		
Bennington	20	11	10	0		
Bentley	23	5	5	1		
Beppo	7	3	3	1		
Bergen	82	6	6	0	Bergen, Norway	Bergen, Norway
Berkeley	195	11	10	1		Name
Berkeley Square	9	2	2	0		
Berks County	7	5	3	0		
Berlin	224	59	47	0		
Bermuda	40	22	19	0		
Berne	37	6	6	0		
Bertha	34	15	15	1		
Bessie	8	6	6	1		
Bethany	14	11	10	1		
Bethel	60	27	24	1		Biblical, figurative
Bethesda	14	11	9	0		
Bethlehem	162	81	55	0	Bethlehem, Israel	Bethlehem, Israel
BETSEY	5	4	4	1		
Beulah	67	16	15	1		Name
Beverly	17	9	8	1		
Bexar	10	3	2	0	San Antonio Texas	
Bible	909	338	196	1		
Biddeford	27	7	6	0	Biddeford Maine	
