,bookid,name,has_disability,words,bookname,gender
10,mdp.39015040081708,Electra,1,was grunt was had waving pulled revealed looked stamped said watching performers mother strip ass G-string rump thumbs shoulder ass chin hand ass head spine buttocks enough umbrella boots head mouth lobotomy,Geek Love,0
11,mdp.39015040081708,Olympia Binewski,1,put turn hunched lose,Geek Love,0
12,mdp.39015040081708,Iphy,1,sat helped yelped cried had felt squeal took sat loved had shook said sighed said sat ordered kept shook took reached said decided explained screamed cringed explained said said sagged turned said says tottered bother used stole looked bristled watched had explained fell left-handed melody cheek attention hand hands eye eyes mouth lips reach face throat blood arm shoulder shoulder face,Geek Love,0
13,mdp.39015040081708,Elly,1,slide said sat smoothed looks see helped maneuvered held stood was smiled burnt did eating hated acted squeal slung were took chattering pulling were knew see said shrugged had demanding slapped snorted drilled chirped pointed pressed grinned sizzled snapped pushing whispering knew hunched smiling tickle let dragged get reaches drew spit sniffed pleaded muttered claimed know said talking had sat spilled bounced had pumped wanted had choose said insisted was hated sat grumbling said muttered talk said glowered want come shook loosen patted snarled smoothed spooked like going going going has said sleep snorted keeps sneered s watched sunk looking said sniffed sighed giggled had continued crying hiding got wrapping snapped cried piped put sold peeped was hooted looked giggled let look grinned going was said nodded smiled closed glared recognize crying grimaced s accept hated ordered sucking cringed crying peered took said tittered grinned saw shared grabbed waved shoot sat waited dropped said went turned looked said sat did said scared yell hit pushed rolling known barked said spoke spoke opened nodded drool lay hanging sank likes is have thought shut cut wanted said wanted let damped bit wanted care wanted figured liked decided handle coming flop was come coming stretched coming is blinked pulled tipped gasped coming collapsed holding drooled sucking had s said making made worked told lying reacted cried cleaned fed lift gave urged sleeping put frozen help coming likes lunged threw jammed said stopped hit stamped said perched terrified see huddled distract knew hollered got need waited given given Bring help do growled stop shrugged hated have liked snapped pumped had asked used hit pull catch lugging supporting steered hugging laughed set supporting holding hold left hugged bring get feed brought chased heard careful right-handed leg rhythm afraid nothing pink old impatient old sort interested ready careful part glad mad mad mad able twinkling face soul hair hand trick break skin pimples harshness hands head lips direction tone toes voice arms glare on sleeves face forehead neck eyes hands fingers set act face bowl straw eyes whispers chair food meat arm head lips garbage shot ribs head hand head neck cloth face eyes voice ways Chick else voice hand hands face fingernails face hair envelope way hair hand chin whoring mouth face style eyebrows teeth horse neck shoulder face note eyes hand elbows idea sector hands face hand hands sunglasses eyes eyebrows pupil lids smooth throat conversation piano armpit weight head face ears own hand arms head shoulder jam way better head arms muscle skull neck blood tone grin head eyeballs voice belly mouth jaw lift breast titties eyes eyes face arms blouses breast own head tail breast eye face hands face body feet,Geek Love,0
14,mdp.39015040081708,Miss Olympia,1,mocked begins give on,Geek Love,0
15,mdp.39015040081708,Fortunato,1,broke had yank lay shook threw turned looking looking pursed looking pointed serves abandon depreciated angry chair neck magazine knee face lap head effect buttocks performance crib dreams head skull voice voice mouth eyes show techniques lack siblings,Geek Love,1
16,mdp.39015040081708,Arturo,1,used moved heading taken was poke murmuring began sat jeered undergoes established says wish looking runs wish claims denying needs expected surprised stood going had was had watched picked remember loved nanied manipulated deny defy make surprised adore took named pestered old pleasant surgeon businesslike nostalgic will eyes eyes eyes ribs demonstrations defects ego followers van twitches chair shorts seat eyes face eyes voice followers ideal body fame birthday dog,Geek Love,1
17,mdp.39015040081708,Chick,1,slide snuggled arrived sat napped slipped stopped needed had stood left puts bit said admits hiding hid found eat caught watched doing took help kept had sitting shook says said did sat explained said lolling flapping did said took put said holding nodded landed lunged born told born telling ordered born born resigned held glad sure crazy simple pink next painkiller infant delighted sure act eating arm face hair head,Geek Love,1
18,mdp.39015040597794,Charlie,1,is has understand said said fales patted had put needs said said making works fix knows wants lets have eat act worked smiles like thinks feels sees 's tries remember pushed leans wishes had likes relaxes likes know play is does walks throws says wants follows sneaks rings goes gets took care gave runs does makes laughs stands throws says write graduated pushes got goes said like rubs learn learn come keeping knows make learn stares understands backs remembers know reach knows sees knows wants learns rolls shakes gon frowns watches hesitates picks rolls looks has do wants follows doing makes sets stares forgot sighs nods smooths smiles likes sits starts feels know looks gone knows asked meets understands learn get pulls limps do holds spends standing looks smiles stands cowers go wants knows go walk feels wants has watches stands identify wants reaches do control dirties feels runs said tried peeking amuses bends follows loses goes likes like did finds got Let whispered was frightened going got whispered fainted seen know tried told had writhes waiting waiting sees bursting waiting speaks shrinks done sits knows coming talks tell see has goes pats respond lifts has cringes recalls cringes starts opens stares smiles takes goes flushes take tries squeezes adds unlocks nods wants sees pulls has suffering has refute know came was exist 's went died harm said grow have understood huddled comfort done change understand is wakens learned shrinks sees looks wrote pat resent believe appears giggled was waiting watching exists existed exist exists coming whispered interfere stand panicked let get stopped made doing got said got panic let comes doing was walked struggling is tried are had mean do is want fear waiting understand staring said cant trulie sit sit use skared told werks tell keep help pulled tell mind leave promoted sent ditched pull teases tells scared excited pushes catches hurt beating takes tells confused Do leave tell confused rush push see show told take overwhelms spank spanked terrified see find saw take testing beat see asks fascinated raising help leave lifts lifts confused terrified hold tell fills leads like terrified Take Get Get gone Get Get find seen sent Watch send put put Put surrounds see hurt tell diminished paid told motivate meet invite brought hold gone covered locked outwit hate put see gasped gone pulled baker card guy scream scared careful unaccustomed able able frightened capable afraid boy Norma busy boy moron alive afraid afraid afraid afraid afraid moron guy genus hand operashun asistent blushing bundle twitches skin clothes hands pockets spinner shoes nails hands cap eyes legs mother seat fanny shirt friends clothes nose teeth face head head shoelaces face elbows head elbows hands fingers fingers frame hand pocket head book legs lap spinner spinner father son hand body legs arms insides bowels spinner spinner pants shirt hand intestines whimper face hands father spinner shirt father mother mother mouth cage terror ??? mother pants mother father mother shoulder house sister button face trousers leg returns father face father head parents mother eyes mouth lungs head hands face eyes shoulder parents mother forehead kind mother sister mother house room shop approval face face son voice eyes hand thumb barbershop peanuts place mother stranglehold appearance job door giggling contribution eyes mother sister,Flowers for Algernon,1
19,mdp.39015040597794,Mr. Gordon,1,have said b-buys examine retarded thinking g-got g-got,Flowers for Algernon,1
20,mdp.39015043002289,Joe,1,shot make rising drowned came fainted went fainted struggled fighting knew drowning lay used knew had hear remembered see knew feel felt jump lay had tried wished wished froze feel feel felt felt think feel going get run got lying remembered lay wanted staggered going had understand open think open open think was open thought start felt felt was was thinking yawns figure ai says trapped trying had doing got do suspect got help pinching scratch go go shot feel tired ai trapped fool kid deaf able sure man ??? father strength strength head people bandages side arm skin strength arm skin arm arm arm arm arm hand hand arm shoulder arm eyes stomach head eyes hands lungs eyes eyes sleep eyes eyes lids skull way brain,Johnny Got His Gun,1
21,mdp.39015046349141,Benjy,1,get gave kept go come put going going said coming got said made hunted knew say know crying crying crying hated started dressed dressed broke started go told send keep Drink Get tell Bring mean carry lead carry carry cut feed go send wake see take hurts hands pockets dolls He pasture pasture pasture pasture clothes,The Sound and the Fury,1
22,mdp.39015054067759,Rat Kiley,1,carried carried said carried said said made put says say say says spits looks playing stepped took shot shot put lost write shot shot shot reloaded shot crying tried laughed thought liked had slept wanted felt claimed arrived tell smiled tolerate get snap say tell heard said was sleep gone standing said recognize watched think said picked help wanted tell stopped caught went took told ripped said took helped did leaned was was hit sleep cope broke said said stepped liked grin murmur told shot killing troubled old books friend friend rifle face foot face grief stories eyes eyes hands voice effects lap head personality head,The Things They Carried,1
23,mdp.39015054102655,Almasy,1,went was used asked murmured had turn looked came loved says drunk drunk stomach bed face back crouch hand arms skin presence,The English Patient,1
24,mdp.39015062063501,Christopher,1,said please have said said getting behave said hurt please said tell touch said said said understand write saying was said said put said said crying said said said left rang was was touched have shook said going get come came lifted took made is said knows know held fell sat said stood said opened see 's soaking let said let said said pointed said do held please got please holding dumped came crouched said went have go tore said rubbed said got walked took came said killed killed leave killed tell talking replied ask written have Let hit pushed call want told have Tell Tell name silent silent silent worried close sorry sorry old Retriever Oh mother voice hand breath hand fingers walkie-talkie truncheon belt aftershave hand fingers fingers mother hand forehead fingertips hands,The Curious Incident of the Dog in the Night-Time,1
25,mdp.39015063339868,Paige,1,coming was is doing ^ doing come 's is said have please saying got keeping leave take have see say stable tachycardic memory sister pressure temperature daughter mother house mama home house daughter,We Are All Welcome Here,0
26,pst.000018729719,Joan,1,is said asked doing doing came like beamed told get said leaned trying pay said heaved sleeping rummaged said went grinned considered said be left had had had gone wolfing seemed leaning said pointed said wanted ducked sitting play played keep chanted hung suck edged gave slipped said grinned paused said hesitated breathed pouted said said fascinated continue said saying stretched lying spoke chattered had grew opened said notice said noticed propped stood refuse refuse took went peeled arrived pulled began mentioned began said brightened called insisted gave stood knew come is had was be come used go sniff said stood did take take find made led pictured passed confined tell made told left held found found hanged dated known girl ??? crazy horse-jumper double likely mother teeth friend bed along suitcase hands wrists eyes books clubs rackets voice progress Spam room head books room pocket voice tweeds shoes maxims boy voice thoughts feelings thoughts crisis enthusiasm psychiatrist recommendation address eyes take pleasure sofa return room head family face voice outlines death Kennedy parents friends grave,The Bell Jar,0
27,pst.000018729719,Esther,1,seen gets typed got canceling wish thinks write said wanted said seemed hooked said said come said come know stepped returned hate shared wonder marry writing doctor mother tray arm,The Bell Jar,0
28,pst.000044192167,John Singer,1,looked make found leaving hand friend face,The Heart is a Lonely Hunter,1
29,pst.000044192167,Antonapoulos,1,loved sat said cooked loved have looked go worked stay understood let was watched leave made crowded lived looked kept enjoyed sat wept forgotten stared worked carried watched pushed returned shook let took went suck got sitting lived cooked turned tasted stumbled was made left had seen had read kept kneeled write enjoyed was is nodded nodded made rolled frowned lifted took watched leaving told marching meet met kept changed told take asked convince visited disturbed saw sought knew ready proud able bland busy interested first unhappy enormous first glad dead spoon,The Heart is a Lonely Hunter,1
